Player,Team,Position,Age,Matches played,Minutes played,Birth country,Passport country,Height,Progressive runs per 90
Kanu,Botafogo,"LCB, RCB, LCB3",23,24,2399,Brazil,Brazil,186,0.56
Gil,Corinthians,"LCB, RCB",33,24,2383,Brazil,Brazil,192,0.53
Patric,Sport Recife,"RB, RB5",31,24,2366,Brazil,Brazil,173,1.56
Sabino,Coritiba,LCB,24,24,2363,Brazil,Brazil,184,1.68
Léo Ortiz,Red Bull Bragantino,RCB,24,24,2302,Brazil,Brazil,185,0.74
William Matheus,Coritiba,LB,30,23,2269,Brazil,Brazil,181,1.47
V. Cuesta,Internacional,LCB,32,23,2269,Argentina,Argentina,187,0.95
Guilherme Arana,Atlético Mineiro,"LB, LWB",23,24,2258,Brazil,Brazil,176,1.4
Adryelson,Sport Recife,"LCB, RCB3",22,23,2252,Brazil,Brazil,182,0.16
Reinaldo,São Paulo,LB,31,23,2218,Brazil,Brazil,180,2.11
Iago Maidana,Sport Recife,"RCB, CB",24,23,2206,Brazil,Brazil,195,1.26
Felipe Jonatan,Santos,LB,22,23,2137,Brazil,Brazil,176,1.26
Éder,Atlético GO,"LCB, RCB",25,21,2069,Brazil,Brazil,184,1.04
Nicolas,Atlético GO,LB,23,23,2069,Brazil,Brazil,180,2
Luan Peres,Santos,LCB,26,21,2055,Brazil,Brazil,190,0.88
Juninho,Bahia,LCB,25,21,2030,Brazil,Brazil,186,0.22
Fágner,Corinthians,RB,31,21,2022,Brazil,Brazil,168,1.38
Aderlan,Red Bull Bragantino,RB,30,23,2016,Brazil,Brazil,180,1.7
Marcelo Benevenuto,Botafogo,"RCB, RCB3",24,21,1982,Brazil,Brazil,180,0.68
Dudu,Atlético GO,RB,23,23,1977,Brazil,Brazil,175,0.77
Bruno Pacheco,Ceará,LB,29,20,1936,Brazil,Brazil,174,1.16
Abner Vinicius,Athletico Paranaense,LB,20,22,1930,Brazil,Brazil,181,1.45
Fábio Sanches,Goiás,"LCB, RCB, CB",29,21,1900,Brazil,Brazil,185,0.33
J. Alonso,Atlético Mineiro,"LCB, LCB3",27,19,1873,Paraguay,Paraguay,184,1.44
Luiz Otávio,Ceará,"LCB, RCB",32,19,1870,Brazil,Brazil,190,0.34
Victor Luis,Botafogo,LB,27,19,1850,Brazil,"Brazil, Lithuania",180,1.31
Nino,Fluminense,RCB,23,19,1849,Brazil,Brazil,188,1.51
Nino Paraíba,Bahia,RB,34,22,1804,Brazil,Brazil,168,1.8
Paulão,Fortaleza,"LCB, RCB",34,19,1790,Brazil,Brazil,187,0.6
Luccas Claro,Fluminense,"LCB, RCB",29,19,1774,Brazil,Brazil,182,0.59
